titles,links
启动！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315642&idx=1&sn=5d47ad4ead1da26035e6a5fac93e4b35&chksm=bd52aad38a2523c5c86afb5b2a67db61a1a84373d02a2e571e682361a09c98231626bef554b4#rd
日产原油突破30万桶,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315642&idx=2&sn=bc3546884d524687f018fe4ea9520e51&chksm=bd52aad38a2523c52c3470a1d98e9901af29643b2942e2a9ac950a150d8eb63946e7e5ca3e90#rd
来了，能源早班车（11月17日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315627&idx=1&sn=bab08ad9e8d1d00e665e2d869af75d2b&chksm=bd52aac28a2523d4b5a2118a87b0b7761dd343fad5aafd78ed214d5c13ab263628ea214b073d#rd
戳！1-10月电力消费情况了解一下,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315625&idx=1&sn=4c20c993445128252332bfb46a7951f4&chksm=bd52aac08a2523d6dacefab95440e16816789fd485329a031c9c0474b66eb2ce6f63b478a4ca#rd
国家能源局组织召开10月份全国可再生能源开发建设形势分析会,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315622&idx=1&sn=786b254d43c8d35c9cb1287a847f48e6&chksm=bd52aacf8a2523d9bf5b4583776c344432823c3636a2a13dc8bdfa9312ab687bcfb6df7acd52#rd
国家能源局青年干部深入学习贯彻党的二十大精神,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315622&idx=2&sn=b73a3bda3e05081d8b050a4ec2541eab&chksm=bd52aacf8a2523d9fa8ac53f3ddc6710eac24450763c95c96174860e75f44e4bb814251ffcee#rd
国家能源局印发通知加强海上风电安全风险防控,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315622&idx=3&sn=7a717d54f43c0ad8e101603176743d9b&chksm=bd52aacf8a2523d9fb5594fc8631a5c0c85f5f067d090492ca9c441205de3a6bb9720800a9d0#rd
国家发改委：突出抓好民生用气保供稳价,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315611&idx=1&sn=04b2bc155f24724746fcbe01918b73d9&chksm=bd52aaf28a2523e40ed81fdbb0f2e34ea9c53d702605c03840aafd4ff5c5f642b5eab5c76aed#rd
国内首个平价海上风电项目全容量并网发电,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315611&idx=2&sn=7542ed328dd149f042a3ecbbeeee0af1&chksm=bd52aaf28a2523e4409424442787dcb15ac5f4e775c200de1469e2ab4f2f17f2c2accd6a242d#rd
核蓄一体化！了解一下,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315557&idx=1&sn=1073f41607794377cc57d5e464f6f487&chksm=bd52aa0c8a25231a001dae5e89430dcd0ad55c387c10adce8a8d7a461382002323bfbb37a629#rd
第三批智能光伏试点示范活动启动,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315557&idx=2&sn=b23159f8b5c80f5d445660eab81b265a&chksm=bd52aa0c8a25231a15b8e05155e536a8245eed8a3c06396663d0cbad539c538d7c917f4492c3#rd
来了，能源早班车（11月16日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315536&idx=1&sn=3a04f85183d9116d8e93dbdebbe7252c&chksm=bd52aa398a25232f499e918581c812a164a751cb048a1e30b589128160314aae2ff79b5de2fc#rd
习近平：粮食、能源安全是全球发展领域最紧迫的挑战,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315531&idx=1&sn=b3dc93076dc4f3fa4d68dda25d5b3d0d&chksm=bd52aa228a2523347afb98641577eaf2eeb4c692e7927395dc000a0f331634e98eac423de02b#rd
前10月新能源汽车产销均超500万辆,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315531&idx=2&sn=1de02dff4ed48f5e545f0da905e47519&chksm=bd52aa228a25233409c7e5917f58bb98d32d34c2b8956e3c1db10ea24f4b466e6c30fe9af52b#rd
2022年10月份能源生产情况,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315516&idx=1&sn=87d0ffab71a9f7f0bde035c81ace362f&chksm=bd52aa558a25234395a86d226f3e61f495b32ee6fc5725a7dc1022f2bc7ca4e63a728fb73b89#rd
全线贯通,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315485&idx=1&sn=7ee87396aeb959c0ae1b94ee0d785709&chksm=bd52aa748a252362ac38d0c24fdd7a82415d44428449086a0300e46ecbba8021407bff127ad5#rd
来了，能源早班车（11月15日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315465&idx=1&sn=8895af2834374e7ad7097602769a2039&chksm=bd52aa608a252376ed1d8d63b3a6679c78f3a592508485d21e07220fd9c55c920c740ddd2d62#rd
1~10月全社会用电量同比增长3.8%,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315463&idx=1&sn=5b97de9eedd0c67c56023b9738ff0390&chksm=bd52aa6e8a25237890df16d8e24dda704aa99578f4189bd1618137509e7c7cc0b8335d9dfb7b#rd
国家能源局召开乡村振兴工作领导小组2022年第三次会议,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315456&idx=1&sn=654f92d3daa2305bdaa8924fd4f01cae&chksm=bd52aa698a25237f8d4e69262acea48999e22fbc2d4ea0db25abc6644dbfd2f1d3d3f177aa67#rd
突破2000亿立方米！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315456&idx=2&sn=04695a6d54c7c3ea7ef0b6b9e8addbe6&chksm=bd52aa698a25237f15f63da02d8c0895d5acaf968975bf79448610344a34fad0249e55cabdad#rd
我国山地风电最大单机容量风机投运,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315456&idx=3&sn=77b04c05d9f55abd1d58112f6f26c338&chksm=bd52aa698a25237fae1b02eb399ae63fce93f158417108be28fd5a6f2195d701ab3f6c414405#rd
划重点！前三季度能源形势、可再生能源并网运行情况……,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315415&idx=1&sn=0debb35359d62e7713efb76bfbc3f680&chksm=bd52abbe8a2522a8d7bb9650bbb6e62172c87bc0fc2c039aaaab40685109ff7a59646ca86978#rd
旗帜鲜明讲政治 强根固魂显担当,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315415&idx=2&sn=0c87797c5c7a246057943ef14b7c5cd1&chksm=bd52abbe8a2522a85aad9e161ad8bd6c2f7b0db68acb96e3c8c15ebbfb95732d0af2bb0b4270#rd
传承改革基因 创建一流企业,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315406&idx=1&sn=d5bd237e34e4a51b8896b431fcbceea5&chksm=bd52aba78a2522b1e039958825ae35ce3560ca9fc84d71553f48efdf3890456916603e82a550#rd
3000亿千瓦时！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315406&idx=2&sn=88602ffa8f3619effc0791f4f6fde811&chksm=bd52aba78a2522b1d5f16b55e17e8f47a3ba877b5cef79b2aad46b7f70841c1ebd8abffd486d#rd
每年可节省费用上亿元,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315406&idx=3&sn=9557947227d4da225309746f2973d188&chksm=bd52aba78a2522b18445f099227264bf0f63b2a2becddba44b4e6e9237cc19c3be21c9e7e899#rd
来了，能源早班车（11月14日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315340&idx=1&sn=17cce626c91a19838227b8c4fa5651b2&chksm=bd52abe58a2522f31271b44423bcaa8d81057860d2c539d20ff232eacca3d89b4d07a01cab4c#rd
国家能源局组织召开加快储气能力建设专题推进会,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315329&idx=1&sn=9ea8decbd1705e34114808343db38fe0&chksm=bd52abe88a2522fe1ba0c90da0f5d519ac8a9c63cd6c819b5991335a0da56928a7274d1de4ed#rd
国际电工委员会（IEC）大会召开,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315321&idx=1&sn=aa7b69f066d56a97e51772b67699447a&chksm=bd52ab108a25220657ce1d6c26d391a3c253d51a2e84e6eb54c7574af44d80123ac244190ba1#rd
中电联开展新技术、新产品征集活动,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315321&idx=2&sn=e3d103b2e64099e476d83383a1c16dd6&chksm=bd52ab108a2522062b969ddd18e7ee01cb1b30ee3dd6a36824bf9b08b0cc11f8df36442534ac#rd
为场景找技术！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315321&idx=3&sn=9d2571399343cbe15e388c8ccb80ab0f&chksm=bd52ab108a2522063532ef4a4eec3156f675902c7a9ea4a4c81a025c340cbf13fc129ddf7d9c#rd
优化能源结构 推动绿色发展,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315294&idx=1&sn=b5db0d07f9d04a54b1ec38b16f6dd0e7&chksm=bd52ab378a252221d934753e09ac506a55d7812ac113de59f47f18724075d7b8ee16c6b67bc1#rd
欧盟拟调整联合购气程序抑制气价上涨,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315294&idx=2&sn=8a817a5b17974eb74ee66b31e294e31b&chksm=bd52ab378a252221813e21b8ec22691ea185093b87a0d44c4d303a4a7a242774d25ba384545f#rd
全球首台耐350摄氏度高温电潜泵出炉,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315270&idx=1&sn=e3f18b83d6888d6e31554eb35eca62bf&chksm=bd52ab2f8a2522392c1fe00bd64c0ce1781bd22744dd94ed4ba9d41ddebe83170953e9e97ebe#rd
太平岭核电1号机组首台反应堆压力容器吊装就位,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315270&idx=2&sn=b60c23a387914654a81908e37cd7b8b5&chksm=bd52ab2f8a25223917330880227a6f1451d1945eb85c51343b13f11f14d3fef750585b46f54f#rd
来了，能源早班车（11月11日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315229&idx=1&sn=46d091cb064f95352996f31716866ba3&chksm=bd52ab748a2522628553a6d014934729b9871afed62f4316d9c30ad4a240d0ec7562d044991d#rd
2022亚太电协CEO会议召开,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315227&idx=1&sn=0339e556c4dbb1b7a9fc22271df148ec&chksm=bd52ab728a252264521755033093751397f20e4efa79da5cfafe8c5750063e7dfd73ed0c77e0#rd
奋勇争先创一流 凝心聚力谱新篇,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315127&idx=1&sn=a57750fb2bc0efaad7903a1c62ba2817&chksm=bd52acde8a2525c8228601ce1c161d35f94ef9553c53b67d4d4a8a558b08f7e15529d6bab2a2#rd
全国最长110千伏三芯海缆成功敷设！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315127&idx=2&sn=7a92cc900f73ca2ccec42c1b11b74c2c&chksm=bd52acde8a2525c8207fb902e2f88ed8e65f85b8419cdabd2a84c838ad4cae5080a1a687af7c#rd
来了，能源早班车（11月10日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315117&idx=1&sn=4418255ef6c0011e3b9e19887d337320&chksm=bd52acc48a2525d2691675626b780049a0e8ad69b03cf597edc5867b98e89205dde1b169e194#rd
最大区块完成海上平台安装,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315113&idx=1&sn=5e2639a9852fb44baf151e2c6eb56cd9&chksm=bd52acc08a2525d645160697a4565785e835b1a8bb3fb6a9bb63409c7acd69536ca79bf6c820#rd
青海首个 开建！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315113&idx=2&sn=e95d1e087b7ce43302c6f825922a42f3&chksm=bd52acc08a2525d6a5585d67146ff5f4d9baa5477831ee6c131d27635c525faff8fe78c112f3#rd
爱心助农,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315113&idx=3&sn=6992d84c9d3962eaf6e17426c2b10b6a&chksm=bd52acc08a2525d6b2248e49a87b971508a5e9aad21ae9ad56651865e1f1355088be67fe067f#rd
中电联2022 年年会召开,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315112&idx=1&sn=90b17246c2c690d5ed111e3c2e174be8&chksm=bd52acc18a2525d7fae573b3e185da3b9b4e7a7c84f936b6e734f6807d3f1c62706a0ee35d2b#rd
为电力发展植入数字基因,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315112&idx=2&sn=48858ed30d039053a40ed5191a730b17&chksm=bd52acc18a2525d745e99484e51cd4b99bcffc5a4103d48de9cf4d099a70304534e8fd318788#rd
中电联2022 年年会召开,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315036&idx=1&sn=665cc534d267ccb64ea503a2f24402ea&chksm=bd52ac358a25252324c591a7c35d258957fc22bf839321b810c9166c9aa59d7a39a37a8217fc#rd
为电力发展植入数字基因,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651315036&idx=2&sn=380d0fb1516a269565f98a84b9b182c1&chksm=bd52ac358a252523d38455a9ad82debe6e6234f97a44b2a9887d60026740fc37d3202423d54e#rd
来了，能源早班车（11月9日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314963&idx=1&sn=2bf157a10c54bcb5c57cd368da4fe29c&chksm=bd52ac7a8a25256cc447010f6458fa5dade69dfe0dea8083926b764136a1959b871e00423a7f#rd
中国能源传媒集团有限公司招聘公告,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314961&idx=1&sn=c464ef1aadb796b5a940214cf1cca6a2&chksm=bd52ac788a25256e6afdc4064cdd929a35ec5bcfa350e9aa5b334eb5160953f3c341f3879654#rd
中国能源传媒集团有限公司招聘公告,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314960&idx=1&sn=565a32edf8ffe7769083dcbf5b04fa37&chksm=bd52ac798a25256f8449919d65da47605a05b66d1d39e31a04d62c589aba7efd9d1437325560#rd
打通居民区电动汽车充电“最后100米”,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314941&idx=1&sn=8c13749e7778d609f6e5203f8575e916&chksm=bd52ad948a252482a13c7e2177ffabbf40d1438c126bc8012e6f4f8277053a67f9cd74b7d367#rd
工业和信息化部批复组建3家国家制造业创新中心,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314941&idx=2&sn=2e8f3c187eecadc7d0d3e80a5dc2df29&chksm=bd52ad948a2524822b9541510ca452514be36548cd5fcc244d49ea1ef4d84f323cd57daca487#rd
节日快乐！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314909&idx=1&sn=f499566bf0e9797fd8b9c7919ee732ad&chksm=bd52adb48a2524a27c98afd9b8d8a726162c5eae08602a69030469c2b969ed286e108cf73562#rd
能源央企进博会签约金额再创新高,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314887&idx=1&sn=d2e551692da48e20f60188543591e964&chksm=bd52adae8a2524b81cbad64846cfa631a61b29a75a649f85d4241eead4fda7942f6e4a73c3f5#rd
来了，能源早班车（11月8日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314853&idx=1&sn=0089e6a91a3d92076f57cda86f6e90b2&chksm=bd52adcc8a2524dac09cb2973a7e505e5d544eceb9c4f4b9e722d30c1056a465a6c05502e821#rd
副刊，来了！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314851&idx=1&sn=17b1da77006fbdbbd954c634cc22d9e6&chksm=bd52adca8a2524dcf2c398d99082a443ae504cb4c9d5a35784f447bb3f0e4efd15308b551d10#rd
​华为：为“双碳”战略注入数字新动力,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314851&idx=2&sn=db8b0f0a02a1cd7b15b52e263cd21948&chksm=bd52adca8a2524dc76323de755019f19188f47c07689364183dbbd4b11df395c2417695aa985#rd
迎峰度冬 保暖保供 | 浙江探索空调负荷管理 力求“千瓦可控、度电可调”,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314840&idx=1&sn=c5f4f14e1b6b5b1fc91d498409ecee90&chksm=bd52adf18a2524e7bf0ca444748d2fe13711edb610c255c43bf7202585b3a4c3fba1d1779981#rd
三澳核电1号机组完成穹顶吊装,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314840&idx=2&sn=089dedc9db56a3511ec133ef419bda2c&chksm=bd52adf18a2524e7f4ebda364c0ce93a3d840d975da86d37aca9c9d6ba935ace9d89d378deed#rd
辛保安：服务构建新发展格局 奋力推动高质量发展 谱写中华民族伟大复兴电力新篇章,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314828&idx=1&sn=a7d398c02dce8e0dbe24aae1fcb1fc12&chksm=bd52ade58a2524f3fcef8af3761ac105f027267cc1c1e6cd7d61e13ff2a5c0a7300aa379f839#rd
来了，能源早班车（11月7日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314762&idx=1&sn=e947ea3e8b77170b75c9fad43c7c6d62&chksm=bd52ad238a252435b3a5db3febbca7aa6dd75f8ebea557ab5875f92b1a8fb876f15a3bc53477#rd
国家能源局召开学习宣传贯彻党的二十大精神动员部署会,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314752&idx=1&sn=c9ef56ccfc9221762f043a802d731292&chksm=bd52ad298a25243f1705db1bbffec33afbd40375207d1040356754c35a0405b32c42df0e8f0c#rd
完全自主可控！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314741&idx=1&sn=5b679eefd1cf410e30396d46e637454c&chksm=bd52ad5c8a25244a01d9b6b2272fd22c5ffe1b98e3dab9caa89fa2303c401ea0937dbd37667e#rd
国际能源署：欧洲2023年冬天将有“缺气”风险,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314741&idx=2&sn=f07d2b4024183d8a9ea9bcceb9bf8ee4&chksm=bd52ad5c8a25244a665ad5b59a32271157ce0875f57ac27d93cda1618135b145d27514b5efad#rd
APEC工商领导人中国论坛：绿色经济成为共识,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314724&idx=1&sn=4e26d31eec6da484738068dc7809c64d&chksm=bd52ad4d8a25245bb2ba0bf1836451930db8007fb3a3f2f073c659d47080e0a3a5b77302a5ea#rd
白鹤滩水电站第14台机组投产发电,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314724&idx=2&sn=99c477461ef34f33c268f176986438b1&chksm=bd52ad4d8a25245b425c932f7b0629befc0cebe9934eabb682525725628b6a9baf5b76b687bd#rd
来了，能源早班车（11月4日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314691&idx=1&sn=98b44fb63b0dc2e0f715a715232024b6&chksm=bd52ad6a8a25247ce4f6fc172a9aa4c5f8f41bc6d948453a1b47f7642b69500419c8beaefaa8#rd
来了，能源早班车（11月4日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314689&idx=1&sn=26ad5cb67f6a5414df06d9317292e1b0&chksm=bd52ad688a25247ee4f98c07ac97aa09b49e54643d3275ffd1e1be6f19e943a9e8eb59b378f6#rd
自然资源部：不得新增占用耕地建设光伏项目,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314687&idx=1&sn=93264fe04d4d3e9d1eb6a93724835f86&chksm=bd52ae968a252780080754380e395509275c10d350ee9f048ab3b99a20664c306c68eee7ea2f#rd
征求意见！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314687&idx=2&sn=1de02e2e3fcfa24b913ffa96ea0b59ed&chksm=bd52ae968a252780e3054f9c72d137ff5f5e72a921bd560ce5083e2f03b7a6f8fbcbab98a7f7#rd
海外主流媒体关注 “时代楷模” 钱海军,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314687&idx=3&sn=4f5cd7d877088c23fe440def5e3eb6cc&chksm=bd52ae968a252780f131c88b0eb4200f3d5301c0399782e777c8406012073bd6a01fbd2360bf#rd
国家电网公司召开学习宣传贯彻党的二十大精神工作部署会,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314412&idx=1&sn=a8d9fee2664d8bf19f4384296e9bb81c&chksm=bd52af858a2526935891bf6e625597cc16d26a301936a7f33a165c9243f8ee367c5b98e2e367#rd
书写党和人民满意的国网答卷,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314412&idx=2&sn=c79daa2c1913992761f2fcf40f319d70&chksm=bd52af858a252693f45ba522e492c883216560b1abbe028bf3383f3512595b56b879710e180e#rd
来了，能源早班车（11月3日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314393&idx=1&sn=1abf7049b53c55f8fcfdf0ec6dfe843b&chksm=bd52afb08a2526a6f93b5aa74c392defa0c0e2c680be019ac27aa471b530aec8f1fd32ec0d71#rd
闽粤联网工程临时价格实行单一容量电价制,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314379&idx=1&sn=7d2a24661b82ded0d85be75f23e557d2&chksm=bd52afa28a2526b49e30cea296d8c0d6cc83ff76e3f5e3058e240c53b7a28a610090743e3ea3#rd
国家能源局就电力可靠性管理工作征求意见,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314379&idx=2&sn=c53b2e7f1cda17afc84c12042852a3b0&chksm=bd52afa28a2526b46002dde03d05aba6f1c74e498d36b9f9932e1adf3ac852453928756d3431#rd
获一等奖！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314359&idx=1&sn=6b06d09c9463e70761342d22ab0667c9&chksm=bd52afde8a2526c857ee44b08c7e995d8ee22448757e133f6cecfd8d7932d320bf90fcdd4edd#rd
白鹤滩清洁水电将入浙,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314359&idx=2&sn=2f1cc5f2b581d9cbfd0c6e3b1ad36f52&chksm=bd52afde8a2526c8f7334679b1ba16886cc66cd712aab013d577c3d9e8879fbb42d8d3fdb69b#rd
深远海风光同场 尽显风光！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314358&idx=1&sn=f3dccb6592a97a8eb2c4af9cca764b73&chksm=bd52afdf8a2526c95526a176ec3c9dcff4fdc3ac0b8de108637de3d9111ca90e3dbf84a17128#rd
中国在柬单体投资最大电源项目首台机组投产发电,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314358&idx=2&sn=cdce7412a1325505acd3b9fc3b77b18e&chksm=bd52afdf8a2526c9c61f73a6bf2588f48ffdb0e956da5e858c55b6428a8a186e622d0f143bb5#rd
来了，能源早班车（11月2日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314321&idx=1&sn=fbd2ae7c809af28eed2f9c5f625bd48f&chksm=bd52aff88a2526ee63ca5fe6c74e5975bccbf6e002fcc9b1a8f3f840f9d6be61b2c0adb02bf7#rd
九部门：统筹推进碳达峰碳中和标准计量体系建设,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314309&idx=1&sn=3bbe16fe3f266f28de1b186377ad731f&chksm=bd52afec8a2526fac84c6c82054b6784df9cd76aad1c7a5395d1e3e14b72b1ff46f31888a730#rd
东北地区首个核能供暖项目正式供热！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314309&idx=2&sn=5d7142b1b1831627360eb10e5efa4903&chksm=bd52afec8a2526fa2801e960516991de0e9c8708da0624535c95b16d76a0ffe8131724072a57#rd
原料用能不纳入能源消费总量控制,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314286&idx=1&sn=e8a95cf34d58b8513dbc089090c15cf6&chksm=bd52af078a252611b58e1a10cc3d040296087c4ad1c5f586e09ef4636ff074abbfb31b81c563#rd
《聚焦新型电力系统技术创新联盟》⑦：视频对话正泰集团股份有限公司轮值总裁栾广富,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314286&idx=2&sn=f100a625bd1403f2eacf9aae3aab6541&chksm=bd52af078a252611599ad7c231be742e0f72a450b78c4544c6fd8a06b9d09eb47b7270c3f1db#rd
我国最大规模岸电应用工程完成海上安装作业任务,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314267&idx=1&sn=e846d8d9cf2213dca700a5511b6d4843&chksm=bd52af328a25262462677c14be5e93a9d6e58c31d242f499aca3b3808d1c224393dc800d7374#rd
国内首家集中式储能电站虚拟电厂开建,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314267&idx=2&sn=b3b66a2e16d4369dafd7e835003fbad6&chksm=bd52af328a252624bf2232497248fecb257b40e0ba5cd3621e27f5e3f8227f6be7b48df23ca1#rd
来了，能源早班车（11月1日）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314252&idx=1&sn=c1bd945e08ed7cf4db850a9a10135d1f&chksm=bd52af258a252633a07fef4ab5ea7c540508e39ef9f8c089513a63933f06f5627d81b0c33e34#rd
海上风电平价时代全国首个核准项目并网发电,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314245&idx=1&sn=e6d4346735ab54e5386bc0b8bc273bc3&chksm=bd52af2c8a25263a2f77dd6a73dcd16fcd35aa613a9a4fe8c1b76c38d74f86a127e3167efd07#rd
16721！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314245&idx=2&sn=ae0e627e9d71816773fcb8f43c0ca8cb&chksm=bd52af2c8a25263ad401a5ea2bbfdfb41a3ce6ca33adeabbcc4c2392fa19b5f916ce09f99e2c#rd
“赛瑞号”正式下线！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314222&idx=1&sn=023549a9af7441897af692da5b2aba6c&chksm=bd52af478a2526512665e2d8ba750ee6d1e76729fe25e79c8b4d12d4e63344aa0cd7d2fcbdad#rd
《聚焦新型电力系统技术创新联盟》⑥：视频对话国网经济技术研究院有限公司总工程师李晖,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651314222&idx=2&sn=ac9c5b58c992bd712e72a7977496552a&chksm=bd52af478a252651826d87bd4892390122fe8a44b2efc7c457fdfc6e1ec8eb42f00a91bddc1a#rd
